time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_range,train/entropy_loss,train/approx_kl,train/loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/n_updates,eval/mean_ep_length,eval/mean_reward
12288,1,2965,4,,,,,,,,,,,,
24576,2,1245,19,0.2,-1.7778967176253597,0.015604262,363.8999328613281,0.001184225082397461,1872.6096495628358,-0.028336915903976963,0.0003,0.24984537760416667,10,,
36864,3,1092,33,0.2,-1.7406750566636522,0.014204704,230.4171142578125,0.00041961669921875,1093.5483726819357,-0.02589759559899297,0.0003,0.2250244140625,20,,
49152,4,1019,48,0.2,-1.679407866857946,0.017257622,228.32473754882812,0.21796578168869019,565.4289743820826,-0.027164412578955913,0.0003,0.242138671875,30,,
60000,,,,0.2,-1.5921730191757282,0.016940823,163.55760192871094,0.48485469818115234,450.94486853281654,-0.03180113892206767,0.0003,0.2778401692708333,40,8760.0,58499.24235291481
61440,5,852,72,,,,,,,,,,,,
73728,6,857,86,0.2,-1.4869577003642918,0.015301258,245.1370849609375,0.6272327899932861,489.1193691730499,-0.033577728445864825,0.0003,0.27569986979166666,50,,
86016,7,856,100,0.2,-1.370664338519176,0.017061343,196.90130615234375,0.7466615438461304,444.3262080272039,-0.03317888531843589,0.0003,0.32733561197916666,60,,
98304,8,856,114,0.2,-1.2227074414491654,0.018076755,198.68533325195312,0.8563650846481323,487.227605509758,-0.03713868557679234,0.0003,0.307080078125,70,,
110592,9,860,128,0.2,-1.0731130510568618,0.019708076,233.2753448486328,0.8809390664100647,822.6486838658651,-0.03294386854201245,0.0003,0.27854817708333335,80,,
120000,,,,0.2,-0.9128897720326979,0.018247442,291.0268249511719,0.8756304979324341,1530.010849428177,-0.022855885744502303,0.0003,0.19716796875,90,8760.0,72994.58704204559
122880,10,811,151,,,,,,,,,,,,
135168,11,814,165,0.2,-0.753697932853053,0.021196837,607.0250854492188,0.8156602382659912,2892.16763121287,-0.0183387868538072,0.0003,0.1152587890625,100,,
147456,12,818,180,0.2,-0.6289817731206616,0.009220626,1313.1029052734375,0.7803680896759033,4605.557304700215,-0.007078470871783793,0.0003,0.070703125,110,,
159744,13,822,194,0.2,-0.5188015256077051,0.0076212343,1297.5262451171875,0.7434296607971191,5154.576398468018,-0.006588541370971749,0.0003,0.06739095052083334,120,,
172032,14,826,208,0.2,-0.43313953078662354,0.0049246075,2262.6357421875,0.712489902973175,4865.289032236735,-0.004294844060981026,0.0003,0.042805989583333336,130,,
180000,,,,0.2,-0.38544236271021265,0.0036774569,1666.130859375,0.6128201484680176,3787.415362771352,-0.004589933050738182,0.0003,0.04523111979166667,140,8760.0,72852.02244596482
184320,15,796,231,,,,,,,,,,,,
196608,16,799,245,0.2,-0.33637737860747924,0.0014877709,1054.0274658203125,0.618114709854126,4048.7853927294414,-0.0020368626312119885,0.0003,0.018155924479166665,150,,
208896,17,803,260,0.2,-0.27964464770630004,0.004519142,1070.00537109375,0.6379480957984924,4147.464020093282,-0.0026883333688601852,0.0003,0.035782877604166666,160,,
221184,18,807,273,0.2,-0.24261699072085322,0.015675703,1599.1387939453125,0.645887017250061,4240.769992764791,-0.002877414417162072,0.0003,0.0267333984375,170,,
233472,19,809,288,0.2,-0.20708639045090724,0.0031443264,929.8165893554688,0.5512909889221191,2710.6712202390036,-0.001974341460784975,0.0003,0.024658203125,180,,
240000,,,,0.2,-0.19283882879341643,0.0008917747,1089.0531005859375,0.6266282796859741,2652.026613378525,-0.0014819337741452424,0.0003,0.013020833333333334,190,8760.0,72172.0754611969
245760,20,786,312,,,,,,,,,,,,
